# Build System Migration
migrated-springboot/pom.xml,migrated-springboot/build.gradle,Root build configuration,BUILD,COMPLETADO
migrated-springboot/settings.gradle,migrated-springboot/settings.gradle,Gradle project settings,BUILD,COMPLETADO
migrated-springboot/gradle.properties,migrated-springboot/gradle.properties,Gradle properties,BUILD,COMPLETADO
migrated-springboot/gradle/wrapper/,migrated-springboot/gradle/wrapper/,Gradle wrapper,BUILD,COMPLETADO
migrated-springboot/common/pom.xml,migrated-springboot/common/build.gradle,Common module build,BUILD,COMPLETADO
migrated-springboot/frontend/pom.xml,migrated-springboot/frontend/build.gradle,Frontend module build,BUILD,COMPLETADO
migrated-springboot/product-catalog-service/pom.xml,migrated-springboot/product-catalog-service/build.gradle,Product catalog build,BUILD,COMPLETADO
migrated-springboot/currency-service/pom.xml,migrated-springboot/currency-service/build.gradle,Currency service build,BUILD,COMPLETADO
migrated-springboot/cart-service/pom.xml,migrated-springboot/cart-service/build.gradle,Cart service build,BUILD,COMPLETADO
migrated-springboot/checkout-service/pom.xml,migrated-springboot/checkout-service/build.gradle,Checkout service build,BUILD,COMPLETADO
migrated-springboot/migrations/pom.xml,migrated-springboot/migrations/build.gradle,Migrations module build,BUILD,COMPLETADO

# Scripts Migration
migrated-springboot/build.sh,migrated-springboot/build.sh,Build script updated for Gradle,BUILD,COMPLETADO
migrated-springboot/build.bat,migrated-springboot/build.bat,Build script updated for Gradle,BUILD,COMPLETADO
migrated-springboot/test.sh,migrated-springboot/test.sh,Test script updated for Gradle,BUILD,COMPLETADO
migrated-springboot/test.bat,migrated-springboot/test.bat,Test script updated for Gradle,BUILD,COMPLETADO

# CI/CD Migration
migrated-springboot/.github/workflows/ci-cd.yml,migrated-springboot/.github/workflows/ci-cd.yml,GitHub Actions updated for Gradle,BUILD,COMPLETADO

# Documentation Migration
migrated-springboot/README.md,migrated-springboot/README.md,README updated for Gradle,DOCS,COMPLETADO
migrated-springboot/IMPLEMENTATION_MANUAL.md,migrated-springboot/IMPLEMENTATION_MANUAL.md,Implementation manual updated for Gradle,DOCS,COMPLETADO


# Frontend Service Migration
src/frontend/main.go,migrated-springboot/frontend/src/main/java/com/onlineboutique/frontend/FrontendApplication.java,Clase principal Spring Boot,frontend,COMPLETADO
src/frontend/handlers.go,migrated-springboot/frontend/src/main/java/com/onlineboutique/frontend/controller/FrontendController.java,Controladores REST,frontend,COMPLETADO
src/frontend/rpc.go,migrated-springboot/frontend/src/main/java/com/onlineboutique/frontend/client/ServiceClients.java,Clientes HTTP/REST,frontend,COMPLETADO
src/frontend/middleware.go,migrated-springboot/frontend/src/main/java/com/onlineboutique/frontend/config/WebClientConfig.java,Configuración Spring,frontend,COMPLETADO
src/frontend/money/money.go,migrated-springboot/common/src/main/java/com/onlineboutique/common/model/Money.java,Modelo compartido,common,COMPLETADO
src/frontend/validator/validator.go,migrated-springboot/frontend/src/main/java/com/onlineboutique/frontend/validation/,Validaciones Spring,frontend,PENDIENTE
src/frontend/templates/*.html,migrated-springboot/frontend/src/main/resources/templates/home.html,Templates Thymeleaf,frontend,PARCIAL

# Cart Service Migration
src/cartservice/src/Program.cs,migrated-springboot/cart-service/src/main/java/com/onlineboutique/cart/CartApplication.java,Clase principal Spring Boot,cart-service,COMPLETADO
src/cartservice/src/Startup.cs,migrated-springboot/cart-service/src/main/java/com/onlineboutique/cart/config/,Configuración Spring,cart-service,PENDIENTE
src/cartservice/src/services/CartService.cs,migrated-springboot/cart-service/src/main/java/com/onlineboutique/cart/service/CartService.java,Servicio de negocio,cart-service,COMPLETADO
src/cartservice/src/cartstore/ICartStore.cs,migrated-springboot/cart-service/src/main/java/com/onlineboutique/cart/repository/CartItemRepository.java,Repositorio JPA,cart-service,COMPLETADO
